Dte,Barris,Total,UnaPlanta,DuesPlantes,TresPlantes,QuatrePlantes,CincPlantes,SisPlantes,SetPlantes,VuitPlantes,NouPlantes,DeuPlantesIMes
BARCELONA,,70.717,7.703,11.412,7.108,6.916,9.737,9.605,6.847,4.607,3.301,3.481
1,"1. el Raval",1.851,29,43,51,232,578,536,300,53,18,11
1,"2. el Barri Gòtic",1.106,13,32,26,90,282,406,198,50,..,..
1,"3. la Barceloneta",1.160,208,71,97,148,195,294,109,29,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",1.492,21,33,32,117,436,540,241,42,10,20
2,"5. el Fort Pienc",611,..,..,..,17,32,111,108,97,107,119
2,"6. la Sagrada Família",1.533,144,97,78,71,117,229,246,243,193,115
2,"7. la Dreta de l'Eixample",1.896,24,25,28,38,127,491,533,304,203,123
2,"8. l'Antiga Esquerra de l'Eixample",1.518,10,29,43,29,59,274,418,300,171,185
2,"9. la Nova Esquerra de l'Eixample",1.283,14,20,26,16,54,187,273,250,216,227
2,"10. Sant Antoni",1.135,18,14,..,15,66,190,289,203,153,179
3,"11. el Poble Sec - AEI Parc Montjuïc",1.583,89,114,109,130,237,311,309,200,49,35
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",110,40,32,10,..,..,10,..,..,..,..
3,"13. la Marina de Port",514,41,45,23,81,65,39,64,33,41,82
3,"14. la Font de la Guatlla",348,20,95,21,24,41,39,42,33,..,31
3,"15. Hostafrancs",727,..,56,117,99,153,116,88,36,26,27
3,"16. la Bordeta",493,20,87,78,70,62,62,39,31,21,23
3,"17. Sants - Badal",944,94,125,119,109,144,127,88,63,34,41
3,"18. Sants",2.287,145,427,366,367,333,267,158,70,79,75
4,"19. les Corts",1.256,127,134,96,91,113,125,123,193,178,76
4,"20. la Maternitat i Sant Ramon",598,60,93,51,52,50,35,29,67,39,122
4,"21. Pedralbes",622,12,230,137,..,38,45,22,42,32,58
5,"22. Vallvidrera, el Tibidabo i les Planes",1.105,339,473,232,44,17,..,..,..,..,..
5,"23. Sarrià",2.034,231,791,333,185,208,115,120,25,..,21
5,"24. les Tres Torres",631,12,75,49,65,100,163,120,20,..,21
5,"25. Sant Gervasi - la Bonanova",1.310,62,332,239,87,146,171,141,89,18,25
5,"26. Sant Gervasi - Galvany",1.836,48,117,107,113,199,314,364,331,142,101
5,"27. el Putxet i el Farró",1.490,101,214,228,206,228,189,130,99,66,29
6,"28. Vallcarca i els Penitents",1.285,215,451,240,135,107,38,34,31,27,..
6,"29. el Coll",574,130,160,83,83,88,25,..,..,..,..
6,"30. la Salut",545,69,84,86,89,77,40,25,15,33,27
6,"31. la Vila de Gràcia",3.934,388,584,621,662,632,529,293,134,67,24
6,"32. el Camp d'en Grassot i Gràcia Nova",1.181,32,77,126,100,121,196,179,150,117,83
7,"33. el Baix Guinardó",740,96,49,45,58,85,107,57,97,90,56
7,"34. Can Baró",674,141,153,107,87,92,42,16,..,..,25
7,"35. el Guinardó",2.064,153,410,271,262,399,261,219,72,11,..
7,"36. la Font d'en Fargues",1.019,303,378,142,133,40,13,..,..,..,..
7,"37. el Carmel",1.791,366,291,174,210,483,255,..,..,..,..
7,"38. la Teixonera",759,136,135,119,103,168,79,11,..,..,..
7,"39. Sant Genís dels Agudells",333,93,104,36,31,17,21,..,..,..,12
7,"40. Montbau",274,95,22,27,26,62,23,..,..,..,15
7,"41. la Vall d'Hebron",93,..,..,..,..,..,..,..,..,27,36
7,"42. la Clota",140,53,74,..,..,..,..,..,..,..,..
7,"43. Horta",2.106,387,664,243,348,281,87,65,26,..,..
8,"44. Vilapicina i la Torre Llobeta",1.086,121,182,92,123,230,115,117,66,24,16
8,"45. Porta",817,46,73,62,64,170,215,85,66,18,18
8,"46. el Turó de la Peira",363,11,20,24,28,12,94,88,46,..,31
8,"47. Can Peguera",674,631,15,..,..,..,..,10,..,..,..
8,"48. la Guineueta",293,..,..,..,125,18,11,14,..,61,57
8,"49. Canyelles",79,..,..,..,..,..,..,..,13,..,52
8,"50. les Roquetes",926,161,114,111,223,247,65,..,..,..,..
8,"51. Verdun",601,25,54,56,122,188,112,21,18,..,..
8,"52. la Prosperitat",1.159,58,109,148,112,313,232,93,65,23,..
8,"53. la Trinitat Nova",214,..,..,..,105,35,35,18,12,..,..
8,"54. Torre Baró",488,270,154,52,10,..,..,..,..,..,..
8,"55. Ciutat Meridiana",253,..,..,..,..,..,214,..,..,23,..
8,"56. Vallbona",159,100,24,15,12,..,..,..,..,..,..
9,"57. la Trinitat Vella",619,73,90,98,94,181,78,..,..,..,..
9,"58. Baró de Viver",66,..,..,..,18,..,18,17,..,..,..
9,"59. el Bon Pastor",1.091,707,62,43,47,119,54,37,13,..,..
9,"60. Sant Andreu",3.242,158,1.282,570,189,314,148,141,179,127,134
9,"61. la Sagrera",705,39,101,86,42,69,65,32,58,79,134
9,"62. el Congrés i els Indians",695,68,58,64,128,232,64,45,29,..,..
9,"63. Navas",699,23,191,51,37,54,56,46,89,61,91
10,"64. el Camp de l'Arpa del Clot",1.854,207,306,220,200,245,163,112,135,141,125
10,"65. el Clot",801,41,113,65,83,113,113,68,30,69,106
10,"66. el Parc i la Llacuna del Poblenou",350,14,25,19,32,31,59,47,17,56,50
10,"67. la Vila Olímpica del Poblenou",446,..,127,31,16,69,81,106,..,..,..
10,"68. el Poblenou",1.497,125,265,180,220,220,229,122,49,64,23
10,"69. Diagonal Mar i el Front Marítim del Poblenou",286,..,58,11,..,10,51,47,43,..,56
10,"70. el Besòs i el Maresme",918,141,442,11,10,..,150,..,56,29,70
10,"71. Provençals del Poblenou",449,61,83,39,11,19,44,19,33,30,110
10,"72. Sant Martí de Provençals",472,21,..,..,..,18,22,62,93,94,154
10,"73. la Verneda i la Pau",430,..,..,..,..,64,..,..,29,158,173
